feature,anova_f,mutual_info,spearman_rho,rf_gini,mean_score,rank
diar.1,0.7475,0.1841,0.9594,0.5866,0.6194,1
diar,0.2568,0.3637,0.9714,0.5057,0.5244,2
dior,0.6553,0.6326,0.2646,0.4815,0.5085,3
tots,0.2633,0.6022,0.2361,0.5467,0.4121,4
rank,0.0446,0.5636,0.1703,0.8414,0.405,5
dios,0.3623,0.5125,0.2687,0.4648,0.4021,6
dior.1,0.2765,0.3498,0.2651,0.5708,0.3655,7
rank.1,0.0728,0.3209,0.1893,0.8269,0.3525,8
dios.1,0.1145,0.4342,0.26,0.5042,0.3282,9
tots.1,0.1008,0.4477,0.1916,0.5308,0.3177,10
diss,0.0,0.1195,0.0,0.0,0.0299,11
disr,0.0146,0.0,0.016,0.0001,0.0077,12
disr.1,0.0146,0.0,0.016,0.0001,0.0077,13
diss.1,0.0,0.0,0.0,0.0,0.0,14
