feature,anova_f,mutual_info,spearman_rho,rf_gini,mean_score,rank
rank.1,0.064,0.7148,0.2382,0.9227,0.4849,1
diar.1,0.5617,0.1647,0.9348,0.2531,0.4786,2
rank,0.0688,0.7592,0.2297,0.8156,0.4683,3
dior,0.6183,0.5675,0.3488,0.3034,0.4595,4
diar,0.1555,0.3233,0.9452,0.2141,0.4095,5
dios,0.4161,0.576,0.3475,0.2615,0.4003,6
tots.1,0.3183,0.5154,0.4457,0.2593,0.3847,7
dios.1,0.3474,0.4498,0.4368,0.2917,0.3814,8
tots,0.3688,0.4376,0.3616,0.2583,0.3566,9
dior.1,0.3692,0.2848,0.4003,0.3503,0.3511,10
disr,0.0153,0.3718,0.0152,0.0001,0.1006,11
diss,0.0,0.1928,0.0,0.0,0.0482,12
disr.1,0.0153,0.0533,0.0152,0.0002,0.021,13
diss.1,0.0,0.0,0.0,0.0,0.0,14
