feature,anova_f,mutual_info,spearman_rho,rf_gini,mean_score,rank
disr.1,1.0,0.9995,0.9998,0.8079,0.9518,1
disr,0.8101,0.9962,1.0,0.8885,0.9237,2
dios.1,0.1868,0.9914,0.9354,0.9157,0.7573,3
dior.1,0.197,0.9924,0.9347,0.7308,0.7137,4
tots,0.1528,0.9921,0.9343,0.628,0.6768,5
dior,0.3297,0.9827,0.9336,0.3581,0.651,6
dios,0.175,0.9827,0.9336,0.2611,0.5881,7
tots.1,0.083,0.9968,0.9352,0.3011,0.579,8
diss,0.0863,0.8902,0.9739,0.1617,0.528,9
diss.1,0.0955,0.8925,0.9739,0.1299,0.5229,10
diar.1,0.0,0.0184,0.1115,0.0003,0.0325,11
diar,0.0,0.0115,0.1116,0.0013,0.0311,12
rank.1,0.0,0.0556,0.0034,0.0024,0.0153,13
rank,0.0,0.0364,0.0056,0.004,0.0115,14
