feature,anova_f,mutual_info,spearman_rho,rf_gini,mean_score,rank
disr.1,0.994,0.9987,0.9998,0.846,0.9596,1
disr,0.8517,0.9973,1.0,0.9556,0.9512,2
dios.1,0.565,0.9978,0.9342,0.7443,0.8103,3
dior.1,0.5606,0.9973,0.9336,0.7482,0.8099,4
dior,0.8085,0.9932,0.9338,0.2851,0.7551,5
tots,0.4253,0.9965,0.9329,0.589,0.7359,6
dios,0.5433,0.9939,0.9331,0.2487,0.6797,7
tots.1,0.2602,0.9973,0.934,0.3055,0.6243,8
diss.1,0.3268,0.9236,0.9813,0.1308,0.5906,9
diss,0.266,0.922,0.9813,0.1882,0.5894,10
diar.1,0.0001,0.0234,0.1283,0.0,0.038,11
diar,0.0,0.0111,0.1287,0.0017,0.0354,12
rank.1,0.0,0.07,0.0043,0.0025,0.0192,13
rank,0.0,0.0592,0.005,0.0035,0.0169,14
