feature,anova_f,mutual_info,spearman_rho,rf_gini,mean_score,rank
dios.1,0.8012,0.9943,0.9352,0.9312,0.9155,1
dior.1,0.8081,0.9947,0.9352,0.7645,0.8756,2
dior,0.9806,0.9846,0.9347,0.3417,0.8104,3
disr,0.1768,0.9986,1.0,0.7885,0.7409,4
dios,0.755,0.9805,0.9338,0.2541,0.7308,5
disr.1,0.2276,0.9989,1.0,0.6358,0.7156,6
tots,0.2153,0.9867,0.9342,0.598,0.6835,7
tots.1,0.1045,0.9951,0.9349,0.3533,0.5969,8
diss.1,0.1362,0.9091,0.9774,0.1146,0.5343,9
diss,0.0822,0.9046,0.9774,0.1722,0.5341,10
diar,0.0,0.0181,0.0963,0.0007,0.0288,11
diar.1,0.0003,0.0166,0.0965,0.0001,0.0284,12
rank.1,0.0,0.0525,0.0046,0.0039,0.0153,13
rank,0.0,0.0382,0.0068,0.0037,0.0122,14
