feature,anova_f,mutual_info,spearman_rho,rf_gini,mean_score,rank
dior.1,0.6352,0.9869,0.9913,0.9004,0.8785,1
dios.1,0.6541,0.9395,0.973,0.8325,0.8498,2
tots.1,0.4297,0.9476,0.9806,0.466,0.706,3
dior,0.249,0.8655,0.9549,0.4147,0.621,4
tots,0.1019,0.6948,0.9065,0.2838,0.4967,5
dios,0.1386,0.6862,0.8928,0.1935,0.4778,6
diar.1,0.0915,0.379,0.4911,0.1166,0.2695,7
diar,0.0956,0.3561,0.4727,0.1296,0.2635,8
disr.1,0.1072,0.1594,0.2312,0.0377,0.1339,9
disr,0.0744,0.1699,0.2313,0.0402,0.1289,10
diss,0.0022,0.0392,0.078,0.0002,0.0299,11
rank,0.0,0.0802,0.0069,0.0064,0.0234,12
rank.1,0.0002,0.0785,0.0068,0.0057,0.0228,13
diss.1,0.0024,0.0,0.078,0.0001,0.0201,14
