feature,anova_f,mutual_info,spearman_rho,rf_gini,mean_score,rank
dios.1,0.4365,0.7958,0.6127,0.6677,0.6282,1
tots.1,0.4363,0.8015,0.6093,0.4578,0.5762,2
dior.1,0.4008,0.7026,0.6387,0.4892,0.5578,3
tots,0.3042,0.6491,0.5473,0.3638,0.4661,4
dios,0.314,0.5778,0.5515,0.2468,0.4225,5
dior,0.2665,0.6001,0.5506,0.2053,0.4056,6
diar.1,0.4596,0.3668,0.5055,0.2847,0.4042,7
diar,0.3232,0.3633,0.5088,0.2524,0.3619,8
disr.1,0.3699,0.3322,0.3662,0.3119,0.345,9
disr,0.2767,0.3623,0.3662,0.3019,0.3268,10
rank,0.0028,0.1792,0.0174,0.1847,0.096,11
rank.1,0.0032,0.1291,0.0239,0.2225,0.0947,12
diss,0.0406,0.1417,0.0932,0.0002,0.0689,13
diss.1,0.0486,0.0081,0.0932,0.0018,0.0379,14
