feature,anova_f,mutual_info,spearman_rho,rf_gini,mean_score,rank
diar.1,0.6483,0.4845,0.7138,0.4711,0.5794,1
dios.1,0.3621,0.5943,0.5697,0.7105,0.5591,2
tots.1,0.3383,0.7466,0.5774,0.5232,0.5464,3
dior.1,0.3319,0.6351,0.5725,0.5737,0.5283,4
diar,0.4006,0.474,0.7136,0.4142,0.5006,5
tots,0.2322,0.5138,0.4342,0.3308,0.3777,6
dior,0.2809,0.4161,0.4743,0.2881,0.3649,7
dios,0.2485,0.4324,0.4494,0.2606,0.3477,8
disr.1,0.3564,0.2016,0.3423,0.1412,0.2604,9
disr,0.2312,0.2978,0.3423,0.1163,0.2469,10
rank,0.0086,0.3834,0.064,0.4535,0.2274,11
rank.1,0.0041,0.3427,0.0295,0.4885,0.2162,12
diss,0.0741,0.3253,0.1785,0.0001,0.1445,13
diss.1,0.0945,0.0005,0.1785,0.0003,0.0685,14
