feature,anova_f,mutual_info,spearman_rho,rf_gini,mean_score,rank
disr.1,0.5342,0.4819,0.5861,0.4519,0.5135,1
dios.1,0.2403,0.7543,0.3783,0.4911,0.466,2
disr,0.3605,0.5171,0.5862,0.3894,0.4633,3
tots.1,0.2429,0.7424,0.4075,0.3984,0.4478,4
diar,0.3165,0.4888,0.5774,0.3421,0.4312,5
diar.1,0.4744,0.3127,0.5804,0.3407,0.4271,6
dior.1,0.1733,0.6213,0.4096,0.4274,0.4079,7
tots,0.1268,0.5899,0.3109,0.2665,0.3236,8
dior,0.1321,0.5186,0.3718,0.2486,0.3178,9
dios,0.1245,0.5508,0.309,0.2218,0.3015,10
rank.1,0.0026,0.3106,0.0235,0.3123,0.1623,11
rank,0.001,0.2357,0.015,0.2745,0.1316,12
diss,0.0548,0.2448,0.1699,0.0009,0.1176,13
diss.1,0.0718,0.0052,0.1699,0.0005,0.0619,14
