feature,anova_f,mutual_info,spearman_rho,rf_gini,mean_score,rank
diar.1,0.7221,0.191,0.8462,0.5353,0.5736,1
diar,0.3736,0.3558,0.8633,0.472,0.5162,2
dios,0.4236,0.69,0.3285,0.4947,0.4842,3
dior,0.479,0.592,0.3012,0.4901,0.4656,4
tots,0.3487,0.5776,0.3104,0.5488,0.4464,5
dior.1,0.3137,0.6449,0.2493,0.573,0.4452,6
dios.1,0.198,0.6439,0.275,0.6147,0.4329,7
tots.1,0.2015,0.662,0.2365,0.5765,0.4191,8
rank,0.0352,0.4738,0.1477,0.8457,0.3756,9
rank.1,0.0403,0.2509,0.2038,0.8427,0.3344,10
diss,0.0,0.1161,0.0,0.0,0.029,11
disr.1,0.0243,0.0693,0.016,0.0002,0.0275,12
disr,0.0243,0.0088,0.016,0.0002,0.0124,13
diss.1,0.0,0.0,0.0,0.0,0.0,14
