feature,dtype,n_unique,kind,sample_vals
diss,float64,400,continuous,"[0.0, 2.3, 6.1, 6.0, 5.9]"
diss.1,float64,619,continuous,"[0.0, 7.273238618387272, 19.289893727027113, 18.973665961010276, 18.65743819499344]"
diar,float64,809,continuous,"[0.2, 0.0, 1.2, 0.6, 0.9]"
dios,float64,1051,continuous,"[1.9, 0.8, 0.7, 0.6, 0.2]"
disr,float64,1469,continuous,"[0.0, 0.2, 6.8, 11.8, 11.9]"
tots,float64,1641,continuous,"[1.9, 0.8, 0.7, 0.6, 0.2]"
diar.1,float64,2820,continuous,"[0.4216370213557839, 0.0, 1.813529401164726, 1.2649110640673515, 1.286683937707919]"
dior,float64,3284,continuous,"[3.3, 0.8, 1.7, 0.1, 0.5]"
disr.1,float64,3787,continuous,"[0.0, 0.4140393356054125, 14.405245958022066, 24.87658425999125, 25.088509986313124]"
dios.1,float64,10143,continuous,"[1.3703203194062976, 0.7888106377466155, 0.6749485577105528, 0.5163977794943223, 0.4216370213557839]"
rank,float64,11521,continuous,"[574.4, 565.5, 541.6, 537.6, 536.5]"
tots.1,float64,14180,continuous,"[1.3703203194062976, 0.7888106377466155, 0.6749485577105528, 0.5163977794943223, 0.4216370213557839]"
dior.1,float64,19251,continuous,"[2.4060109910158114, 1.2292725943057186, 1.2516655570345725, 0.7888106377466155, 0.3162277660168379]"
rank.1,float64,31294,continuous,"[308.2077942629687, 298.09403810803656, 282.52126763602536, 277.37347465906765, 275.9916464114247]"
