domain,file,n_train,n_features,n_sparse,ks_mean,ks_pass,ks_total,tstr_f1,trts_f1,base_f1,gap
blackhole_var10_base,10_features_timeseries_60_sec.csv,430,14,12,0.2108,4,14,1.0,0.999,1.0,0.001
blackhole_var10_base,11_features_timeseries_60_sec.csv,430,14,6,0.2017,4,14,0.3711,0.3333,0.0,0.0377
blackhole_var10_base,12_features_timeseries_60_sec.csv,430,14,12,0.2006,4,14,1.0,1.0,1.0,0.0
blackhole_var10_base,13_features_timeseries_60_sec.csv,430,14,6,0.2231,4,14,0.3289,0.3378,0.0385,0.0089
blackhole_var10_base,14_features_timeseries_60_sec.csv,430,14,6,0.2074,4,14,0.3631,0.3333,0.0,0.0297
blackhole_var10_base,15_features_timeseries_60_sec.csv,430,14,12,0.1899,4,14,1.0,1.0,1.0,0.0
blackhole_var10_base,16_features_timeseries_60_sec.csv,430,14,12,0.232,4,14,0.3631,0.3333,0.0,0.0297
blackhole_var10_base,17_features_timeseries_60_sec.csv,430,14,12,0.2222,4,14,0.2126,0.3333,0.0,0.1207
blackhole_var10_base,18_features_timeseries_60_sec.csv,430,14,12,0.2093,4,14,1.0,0.991,1.0,0.009
blackhole_var10_base,19_features_timeseries_60_sec.csv,430,14,6,0.1827,4,14,0.3548,0.3333,0.0,0.0215
blackhole_var10_base,1_features_timeseries_60_sec.csv,430,14,6,0.2031,4,14,0.3289,0.3333,0.0,0.0045
blackhole_var10_base,20_features_timeseries_60_sec.csv,430,14,7,0.1905,4,14,1.0,1.0,1.0,0.0
blackhole_var10_base,2_features_timeseries_60_sec.csv,430,14,8,0.1508,4,14,1.0,1.0,1.0,0.0
blackhole_var10_base,3_features_timeseries_60_sec.csv,430,14,6,0.1952,4,14,0.3711,0.3333,0.0,0.0377
blackhole_var10_base,4_features_timeseries_60_sec.csv,430,14,12,0.1981,4,14,0.0991,0.3333,0.0,0.2342
blackhole_var10_base,5_features_timeseries_60_sec.csv,430,14,12,0.2325,4,14,1.0,1.0,1.0,0.0
blackhole_var10_base,6_features_timeseries_60_sec.csv,430,14,6,0.1777,4,14,1.0,1.0,1.0,0.0
blackhole_var10_base,7_features_timeseries_60_sec.csv,430,14,10,0.2014,4,14,0.1736,0.3333,0.0,0.1598
blackhole_var10_base,8_features_timeseries_60_sec.csv,430,14,6,0.2137,4,14,1.0,1.0,1.0,0.0
blackhole_var10_base,9_features_timeseries_60_sec.csv,430,14,6,0.1761,4,14,1.0,1.0,1.0,0.0
blackhole_var10_dec,10_features_timeseries_60_sec.csv,436,14,10,0.1701,4,14,1.0,1.0,1.0,0.0
blackhole_var10_dec,11_features_timeseries_60_sec.csv,435,14,6,0.183,4,14,1.0,1.0,1.0,0.0
blackhole_var10_dec,12_features_timeseries_60_sec.csv,436,14,12,0.248,4,14,0.1969,0.3333,0.0,0.1365
blackhole_var10_dec,13_features_timeseries_60_sec.csv,435,14,6,0.1912,4,14,1.0,1.0,1.0,0.0
blackhole_var10_dec,14_features_timeseries_60_sec.csv,436,14,8,0.1484,5,14,0.0,0.967,0.0,0.967
blackhole_var10_dec,15_features_timeseries_60_sec.csv,436,14,12,0.1986,4,14,1.0,1.0,1.0,0.0
blackhole_var10_dec,16_features_timeseries_60_sec.csv,435,14,12,0.2089,4,14,0.3704,0.3333,0.0,0.037
blackhole_var10_dec,17_features_timeseries_60_sec.csv,435,14,12,0.203,4,14,1.0,1.0,1.0,0.0
blackhole_var10_dec,18_features_timeseries_60_sec.csv,436,14,10,0.2127,5,14,0.0,0.986,0.0,0.986
blackhole_var10_dec,19_features_timeseries_60_sec.csv,436,14,8,0.1415,4,14,1.0,1.0,1.0,0.0
